title,abbr,key,category,parent,parent_key,description,url,jurisdiction,jurisdiction_code,source,source_url,address,contact,email,tags,created_at,updated_at
Azienda Sanitaria Locale Napoli 1 Centro,,it/a1_na,,,,,http://www.aslna1.napoli.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=a1_na,Centro Direzionale Is. F/9 Palazzo Esedra - 80143 Napoli (NA) Italy,,aslnapoli1centro@pec.aslna1centro.it,,2013-05-04,2013-05-04
Azienda Sanitaria Locale N 1 di Sassari,,it/a1_ss,,,,,http://www.aslsassari.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=a1_ss,Via Monte Grappa  82 - 07100 Sassari (SS) Italy,,protocollo.generale@pec.aslsassari.it,,2013-05-04,2013-05-04
Azienda Sanitaria n.2 di Potenza,,it/a2_g942,,,,,http://www.rete.basilicata.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=a2_g942,Via Torraca  2 - 85100 Potenza (PZ) Italy,,,,2013-05-04,2013-05-04
Asl 4 Lanusei,,it/a4_og,,,,,http://www.asllanusei.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=a4_og,Via Piscinas 5 - 08045 Lanusei (OG) Italy,,protocollo@pec.asllanusei.it,,2013-05-04,2013-05-04
Azienda Sanitaria Locale N. 4 di Teramo,,it/a4_te,,,,,http://www.aslteramo.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=a4_te,Circ.ne Ragusa  1 - 64100 Teramo (TE) Italy,,aslteramo@raccomandata.eu,,2013-05-04,2013-05-04
AZIENDA U.S.L. N.4 DI PRATO,,it/a4_ud,,,,,http://www.usl4.toscana.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=a4_ud,Piazza Ospedale   5 - 59100 Prato (PO) Italy,,usl4prato@postacert.toscana.it,,2013-05-04,2013-05-04
Azienda per I Servizi Sanitari N.5 Bassa Friulana,,it/a5_ud,,,,,http://www.ass5.sanita.fvg.it/,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=a5_ud,Via Natisone  11 - 33057 Palmanova (UD) Italy,,ass5bassofriuli.protgen@certsanita.fvg.it,,2013-05-04,2013-05-04
Comune di Bascape',,it/A690_bpe,,,,,http://www.comune.bascape.pv.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=A690_bpe,Piazza Della Repubblica 2 - 27010 Bascape' (PV) Italy,,comune.bascape@pec.provincia.pv.it,,2013-05-04,2013-05-04
Asl N. 8 Cagliari,,it/a8_ca,,,,,http://www.aslcagliari.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=a8_ca,Via Piero Della Francesca  1 - 09047 Selargius (CA) Italy,,protocollo.generale@pec.aslcagliari.it,,2013-05-04,2013-05-04
Azienda ULSS 9 Treviso,,it/a9_tv,,,,,http://www.ulss.tv.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=a9_tv,Borgo Cavalli  42 - 31100 Treviso (TV) Italy,,protocollo.ulss.tv@pecveneto.it,,2013-05-04,2013-05-04
Accademia Albertina di Belle Arti di Torino,ABA TORINO,it/aaba_001,,,,,http://www.accademialbertina.torino.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aaba_001,Via Accademia Albertina  6 - 10123 Torino (TO) Italy,,accademia.torino@pec.it,,2013-05-04,2013-05-04
Autorita di Ambito Calore Irpino,,it/aaci_,,,,,http://www.atocaloreirpino.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aaci_,Via Seminario - Casa Della Cultura V.Hugo - 83100 Avellino (AV) Italy,,atocaloreirpino@pec.it,,2013-05-04,2013-05-04
Azienda Autonoma di Cura Soggiormo e Turismo di Pozzuoli,AACSTPOZ,it/aacstpoz,,,,,http://www.infocampiflegrei.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aacstpoz,Largo Matteotti  1A - 80078 Pozzuoli (NA) Italy,,aziendaturismopozzuoli@libero.it,,2013-05-04,2013-05-04
Azienda Autonoma di Cura Soggiorno e Turismo di Vico Equense,AACST,it/aacst_,,,,,http://www.vicoturismo.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aacst_,Via Filangieri 100 - 80069 Vico Equense (NA) Italy,,amministrazione@vicoturismo.it,,2013-05-04,2013-05-04
Azienda Autonoma di Cura Soggiorno e Turismo di Capri,,it/aacst_na,,,,,http://www.capritourism.com,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aacst_na,Piazzetta Cerio  11 - 80073 Capri (NA) Italy,,aziendaturismo@pec.it,,2013-05-04,2013-05-04
Azienda Autonoma di Cura Soggiorno e Turismo di Pompei,AACST DI POMPEI,it/aacst_po,,,,,http://www.pompeiturismo.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aacst_po,Via Sacra 1 - 80045 Pompei (NA) Italy,,affarigenerali@pec.pompeiturismo.it,,2013-05-04,2013-05-04
Arlas - Agenzia per Il Lavoro e L'Istruzione,ARLAS,it/aaill_,,,,,http://www.arlas.campania.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aaill_,Centro Direzionale Is. C5 - 80148 Napoli (NA) Italy,,agenzialavoro@pec.arlas.campania.it,,2013-05-04,2013-05-04
Appennino Aleramico Obertengo di Ponzone,,it/aao_al,,,,,,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aao_al,Via Negri Di Sanfront  12 - 15010 Ponzone (AL) Italy,,suoldaleramo@cert.ruparpiemonte.it,,2013-05-04,2013-05-04
Agenzia di Accoglienza e Promozione Turistica Locale dell'Area Metropolitana di Torino - Turismotorino,,it/aapl_001,,,,,http://www.turismotorino.org,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aapl_001,Via Maria Vittoria  19 - 10123 Torino (TO) Italy,,amministrazione@pec.turismotorino.org,,2013-05-04,2013-05-04
Autorita' d'Ambito di Piacenza,ATO 1,it/AAPSPP,,,,,http://www.atopiacenza.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=AAPSPP,Via G. Taverna  74A - 29121 Piacenza (PC) Italy,,atopiacenza@legalmail.it,,2013-05-04,2013-05-04
Agenzia di Accoglienza e Promozione Turistica Locale di Alessandria,,it/AAPTLA,,,,,http://www.alexala.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=AAPTLA,Piazza S.Maria Di Castello  14 - 15100 Alessandria (AL) Italy,,info@alexala.it,,2013-05-04,2013-05-04
Ares Agenzia Regionale per L'Edilizia Sostenibile Soc a R.L. Unipersonale,ARES FVG,it/aarle_,,,,,http://www.aresfvg.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aarle_,Viale Della Vittoria  9 - 33085 Maniago (PN) Italy,,aresfvg@legalmail.it,,2013-05-04,2013-05-04
Azienda Autonoma Soggiorno Cura e Turismo di Napoli,,it/aasct_na,,,,,http://www.inaples.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aasct_na,Palazzo Reale - Piazza Del Plebiscito 1 - 80132 Napoli (NA) Italy,,aziendaturismonapoli@pec.inaples.it,,2013-05-04,2013-05-04
Azienda Autonoma di Soggiorno di Sorrento-Sant'Agnello,,it/aasssa,,,,,http://www.sorrentotourism.com,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aasssa,Via Luigi De Maio  35 - 80067 Sorrento (NA) Italy,,info@sorrentotourism.it,,2013-05-04,2013-05-04
Associazione D'Ambito Torinese Governo Rifiuti,,it/aatgr_to,,,,,http://www.atorifiutitorinese.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aatgr_to,Via Pio VII  9 - 10135 Torino (TO) Italy,,ato-r@pcert.it,,2013-05-04,2013-05-04
Autorita' di Ambito Territoriale Ottimale N.1 Marche Nord Pesaro e Urbino,,it/aato1mnp,,,,,http://www.ato1acqua.marche.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aato1mnp,Via Borgomozzo  10/C - 61121 Pesaro (PU) Italy,,ato1.marche@pec.it,,2013-05-04,2013-05-04
Autorita' di Ambito Territoriale Ottimale 1 Toscana Nord,,it/aato1_lu,,,,,http://www.ato1acqua.toscana.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aato1_lu,Via Per Camaiore  2180 - 55100 Lucca (LU) Italy,,certificata@pec.ato1acqua.toscana.it,,2013-05-04,2013-05-04
Autorita' di Ambito Territoriale Ottimale n 2  Marche Centro - Ancona,AATO 2 MARCHE,it/aato2mca,,,,,http://www.aato2.marche.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aato2mca,Via Gallodoro 69 - 60035 Jesi (AN) Italy,,aato2.marche@legalmail.it,,2013-05-04,2013-05-04
Autorita' di Ambito Territoriale Ottimale n. 4 Alto Valdarno,,it/aato4va,,,,,http://www.ato4.toscana.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aato4va,Via Piero Gobetti  23/P - 52100 Arezzo (AR) Italy,,aitconferenza4@legalmail.it,,2013-05-04,2013-05-04
Autorita' di Ambito Territoriale Ottimale n 5 Toscana Costa,,it/aato5_tc,,,,,http://www.ato5acqua.toscana.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aato5_tc,Viale Carducci  112 - 57124 Livorno (LI) Italy,,cerificata@pec.ato5acqua.toscana.it,,2013-05-04,2013-05-04
Autorita Ambito Territoriale Ottimale Laguna di Venezia,AATO LAGUNA DI VENEZIA,it/aatolv,,,,,http://www.atolagunadivenezia.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aatolv,S. Marco  2662 - 30124 Venezia (VE) Italy,,info@pec.atolagunadivenezia.it,,2013-05-04,2013-05-04
Autorita' di Ambito Territoriale Ottimale N. 3 Marche Centro Macerata,,it/aaton_,,,,,http://www.ato3marche.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aaton_,Galleria Scipione N. 6 - 62100 Macerata (MC) Italy,,ato3marche@legalmail.it,,2013-05-04,2013-05-04
Autorita' Ambito Territoriale Ottimale 1 Palermo,AATO 1-PA,it/aatopa,,,,,http://www.provincia.palermo.it/provpalermo/s2magazine/index1.jsp?idPagina=7507,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aatopa,Via San Lorenzo 312 G/H - 90146 Palermo (PA) Italy,,ato1pa@provincia.palermo.it,,2013-05-04,2013-05-04
Autorita' di Ambito Territoriale Ottimale N.2 Basso Valdarno,,it/aato_pi,,,,,http://www.ato2acqua.toscana.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aato_pi,Via F. Aporti - Largo Malaguzzi  1 - 56028 San Miniato Basso (PI) Italy,,ato2bassovaldarno@certiposta.net,,2013-05-04,2013-05-04
Accademia di Belle Arti di Frosinone,ABAF,it/abaf_060,,,,,http://www.accademiabellearti.fr.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=abaf_060,Viale Marconi Snc - 03100 Frosinone (FR) Italy,,abafr@pec.accademiabellearti.fr.it,,2013-05-04,2013-05-04
Accademia di Belle Arti di Foggia,,it/abaf_071,,,,,http://www.abafg.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=abaf_071,Corso Garibaldi  35 - 71122 Foggia (FG) Italy,,abafg@argopec.it,,2013-05-04,2013-05-04
Accademia di Belle Arti di Macerata,,it/abam_043,,,,,,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=abam_043,Via Berardi  6 - 62100 Macerata (MC) Italy,,abamc@pec.it,,2013-05-04,2013-05-04
Accademia Belle Arti di Napoli,,it/aban,,,,,http://www.accademiadinapoli.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aban,Via Costantinopoli  107 - 80138 Napoli (NA) Italy,,napoli_accademia@libero.it,,2013-05-04,2013-05-04
Accademia di Belle Arti di Roma,,it/abar_,,,,,http://www.accademiabelleartiroma.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=abar_,Via Di Ripetta 222 - 00186 Roma (RM) Italy,,economato@accademiabelleartiroma.it,,2013-05-04,2013-05-04
Accademia di Belle Arti,,it/aba_090,,,,,http://www.accademiasironi.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aba_090,Via Duca Degli Abruzzi  4 - 07100 Sassari (SS) Italy,,info@accademiasironi.it,,2013-05-04,2013-05-04
Autorita' di Bacino della Basilicata,ADB BASILICATA,it/abb_,,,,,http://www.adb.basilicata.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=abb_,Corso Umberto I  28 - 85100 Potenza (PZ) Italy,,dgbacino@cert.regione.basilicata.it,,2013-05-04,2013-05-04
"Autorita' di Bacino Interregionale dei fiumi Trigno, Biferno e Minori, Saccione e Fortore",,it/abdft_cb,,,,,http://adbpcn.regione.molise.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=abdft_cb,Contrada Colle Delle Api - 86100 Campobasso (CB) Italy,,autbacino@pec.regione.molise.it,,2013-05-04,2013-05-04
Autorita' di Bacino del Fiume Arno,,it/abfa,,,,,http://www.adbarno.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=abfa,Via Dei Servi  15 - 50122 Firenze (FI) Italy,,adbarno@postacert.toscana.it,,2013-05-04,2013-05-04
"Autorita' di Bacino dei Fiumi Isonzo, Tagliamento, Livenza, Piave, Brenta-Bacchiglione",,it/abfitlpb,,,,,http://www.adbve.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=abfitlpb,Dorsoduro  3593 - 30123 Venezia (VE) Italy,,adbve.segreteria@legalmail.it,,2013-05-04,2013-05-04
Autorita' di Bacino dei Fiumi Liri Garigliano e Volturno,,it/abflgv,,,,,http://www.autoritadibacino.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=abflgv,Viale Lincoln Ex Zona Saint Gobain - 81100 Caserta (CE) Italy,,admin@pec.autoritadibacino.it,,2013-05-04,2013-05-04
Autorita' di Bacino del Fiume Tevere,,it/abftrm,,,,,http://www.abtevere.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=abftrm,Via Bachelet  12 - 00185 Roma (RM) Italy,,postacertificata@abtevere.postecert.it,,2013-05-04,2013-05-04
Autorita' di Bacino Interregionale del Fiume Magra,ADB MAGRA,it/abifm_,,,,,http://www.adbmagra.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=abifm_,Via A. Paci 2 - 19038 Sarzana (SP) Italy,,magra@pec.adbmagra.it,,2013-05-04,2013-05-04
Autorita' di Bacino Interregionale del Fiume Sele,,it/abisele,,,,,http://www.abisele.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=abisele,Via F. Caracciolo  16 - 80122 Napoli (NA) Italy,,informazioni@abisele.it,,2013-05-04,2013-05-04
Autorita' di Bacino del Lario e Dei Laghi Minori,,it/abl_097,,,,,http://www.consorziolario.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=abl_097,Via Polvani  2 - 23829 Varenna (LC) Italy,,autoritabacinolario@pec.regione.lombardia.it,,2013-05-04,2013-05-04
Autorita' di Bacino del Fiume Adige,,it/abnfa_tn,,,,,http://www.bacino-adige.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=abnfa_tn,Piazza Vittoria  5 - 38122 Trento (TN) Italy,,adb.adige@legalmail.it,,2013-05-04,2013-05-04
Autorita' di Bacino Pilota del Fiume Serchio,,it/abpfs,,,,,http://www.autorita.bacinoserchio.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=abpfs,Via Vittorio Veneto  1 - 55100 Lucca (LU) Italy,,bacinoserchio@postacert.toscana.it,,2013-05-04,2013-05-04
Autorita' di Bacino Regionale Sinistra Sele,,it/abrsssa,,,,,http://www.adbsinistrasele.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=abrsssa,Via A. Sabatini  3 - 84121 Salerno (SA) Italy,,adbsinistrasele@pec.it,,2013-05-04,2013-05-04
Ateneo Bergamo Spa,,it/abs_bg,,,,,http://www.unibg.it/ateneobergamospa,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=abs_bg,Via Salvecchio 19 - 24129 Bergamo (BG) Italy,,ateneo.bergamo@legalmail.it,,2013-05-04,2013-05-04
Accademia della Crusca,,it/AC,,,,,,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=AC,Via Di Castello  46 - 50141 FIRENZE (FI) Italy,,,,2013-05-04,2013-05-04
Azienda Comprensoriale Acquedottistica S.P.A in House Providing,,it/acas_068,,,,,http://www.aca.pescara.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=acas_068,Via Maestri Del Lavoro D'italia 81 - 65125 Pescara (PE) Italy,,aca.pescara@pec.it,,2013-05-04,2013-05-04
Automobile Club Ancona,AC ANCONA,it/aca_,,,,,http://www.ancona.aci.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aca_,Corso Stamira 80 - 60122 Ancona (AN) Italy,,automobileclubancona@pec.aci.it,,2013-05-04,2013-05-04
Automobile Club Agrigento,AC AGRIGENTO,it/aca_5pn0,,,,,http://www.agrigento.aci.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aca_5pn0,Via Matteo Cimarra  38 - 92100 Agrigento (AG) Italy,,aca_5pn0automobileclubagrigento@pec.aci.it,,2013-05-04,2013-05-04
Automobile Club Asti,,it/aca_at,,,,,,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aca_at,Piazza Medici 21/22 - 14100 Asti (AT) Italy,,automobileclubasti@pec.aci.it,,2013-05-04,2013-05-04
Automobile Club Avellino,,it/aca_av,,,,,http://www.avellino.aci.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aca_av,Via Baccanico N 34 - 83100 Avellino (AV) Italy,,aciavellino@pec.it,,2013-05-04,2013-05-04
Automobile Club Acireale,AC AE,it/aca_ct,,,,,http://www.acireale.aci.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=aca_ct,Viale Regina Margherita 25 - 95024 Acireale (CT) Italy,,automobileclubacireale@pec.aci.it,,2013-05-04,2013-05-04
Accademia di Belle Arti di Lecce,,it/acba_le,,,,,http://www.accademiabelleartilecce.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=acba_le,Via G. Libertini - 73100 Lecce (LE) Italy,,protocollo@accademiabelleartilecce.it,,2013-05-04,2013-05-04
Associazione Consorzi di Bonifica del F.V.G.,,it/acbfv_,,,,,http://www.assoconsorzibonificafvg.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=acbfv_,Viale Europa Unita  141 - 33100 Udine (UD) Italy,,info@assoconsorzibonificafvg.it,,2013-05-04,2013-05-04
Automobile Club Brescia,,it/acb_bs,,,,,http://www.brescia.aci.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=acb_bs,Via Enzo Ferrari 4-6 - 25134 Brescia (BS) Italy,,automobileclubbrescia@pec.aci.it,,2013-05-04,2013-05-04
Asmenet Campania Cst,,it/acc_,,,,,http://www.asmenetcampania.it,Italy,IT,Directory of italian Public Administrations,http://www.indicepa.gov.it/ricerca/dettaglioamministrazione.php?cod_amm=acc_,Via G. Porzio 4 - Isola G1 - 80143 Napoli (NA) Italy,,cstasmenetcampania@asmepec.it,,2013-05-04,2013-05-04
